state,city,token,status,depots,count_est,count,time_est,time,date,ver,remarks
Montana,Missoula,missoula,cleanup,10,12,11,40,35,2023-06,,IRL map
Montana,Sidney,sidney,cleanup,6,8,7,25,20,2023-10,,IRL map
Montana,Thompson Falls,thompson_f,cleanup,5,7,6,20,25,2023-07,,IRL map
Nebraska,Alliance,alliance,all,4,6,6,20,10,2024-06,1.50,
Nebraska,Chadron,chadron,all,4,6,5,20,10,2024-06,1.50,
Nebraska,Columbus,columbus,all,9,11,10,40,35,2024-06,1.50,
Nebraska,Grand Island,grand_island,all,7,9,8,30,30,2024-06,1.50,
Nebraska,Lincoln,lincoln,all,8,10,10,35,45,2024-05,1.50,
Nebraska,McCook,mccook,all,6,8,8,25,20,2024-06,1.50,
Nebraska,Norfolk,norfolk,all,7,9,9,30,25,2024-06,1.50,
Nebraska,North Platte,north_platte,all,7,9,9,30,35,2024-07,1.50,
Nebraska,Omaha,omaha,all,10,12,12,40,35,2024-05,1.50,
Nebraska,Scottsbluff,scottsbluff,all,8,10,11,35,40,2024-06,1.50,
Nebraska,Sidney,sidney_ne,all,7,9,7,30,20,2024-06,1.50,
Nebraska,Valentine,valentine,all,5,7,5,25,10,2024-06,1.50,
Nevada,Carson City,carson_city,,4,6,,20,,,,
Nevada,Elko,elko,,8,10,,35,,,,
Nevada,Ely,ely,,4,6,,20,,,,
Nevada,Jackpot,jackpot,,2,4,,10,,,,
Nevada,Las Vegas,las_vegas,all,9,11,12,40,40,2022-12,1.46,
Nevada,Pioche,pioche,,1,3,,10,,,,
Nevada,Primm,primm,all,3,5,4,10,5,2022-12,1.46,
Nevada,Reno,reno,,6,8,,25,,,,
Nevada,Tonopah,tonopah,,2,4,,10,,,,
Nevada,Winnemucca,winnemucca,,4,6,,20,,,,
New Mexico,Alamogordo,alamogordo,all,4,6,5,15,15,2022-11,1.46,
New Mexico,Albuquerque,albuquerque,all,15,17,16,55,60,2022-12,1.46,
New Mexico,Artesia,artesia,all,4,6,7,25,15,2024-03,1.49,
New Mexico,Carlsbad,carlsbad_nm,all,4,6,7,25,20,2024-03,1.49,
New Mexico,Clovis,clovis,all,5,7,6,20,35,2024-03,1.49,
New Mexico,Farmington,farmington,all,5,7,8,25,,2020-06,1.37,
New Mexico,Gallup,gallup,all,6,8,7,25,30,2024-04,1.49,
New Mexico,Hobbs,hobbs,all,5,7,6,20,25,2024-02,1.49,
New Mexico,Las Cruces,las_cruces,all,7,9,8,25,30,2024-03,1.49,
New Mexico,Raton,raton,all,7,9,7,25,20,2022-12,1.46,
New Mexico,Roswell,roswell,all,5,7,10,35,20,2024-03,1.49,
New Mexico,Santa Fe,santa_fe,all,9,11,11,40,55,2024-04,1.49,
New Mexico,Socorro,socorro,all,6,8,8,25,20,2024-04,1.49,
New Mexico,Tucumcari,tucumcari,all,5,7,6,20,25,2022-11,1.46,
Oklahoma,Ardmore,ardmore,all,12,14,13,45,45,2023-08,1.48,
Oklahoma,Clinton,clinton,all,7,9,7,25,25,2023-08,1.48,
